LoanAccount,Max_OverdueAmount,Total_Paid,Total_Scheduled,Min_Outstanding,Has_Early_Overdue
L00F286A2CF1272F058186BD6ED41638C,0.0,25743.0,25743.0,0.0,0
L00F40BD93C4109C049D6225155F00841,0.0,13964.0,13964.0,0.0,0
L00F470DF0AF75877F1F4D1653C5A61C6,0.0,34360.0,34360.0,0.0,0
L00F53F38CB15C10EA4CE1D00016919A1,0.0,17547.0,17547.0,0.0,0
L00F573B88070BF8211999AFD55A35C1F,6100.0,5500.0,11600.0,6100.0,1
L00F578B0652BCD670D4B5F81D09A3C9D,0.0,11586.0,11586.0,0.0,0
L00F828BB8F94A5E542AF6E92553D391D,0.0,15219.0,15219.0,0.0,0
L00FA2A6B07B1028B786E8D28754F973D,2318.0,3250.0,5568.0,2318.0,1
L00FB74DC056A4FCF4F4EA1C692E4A674,4779.0,7500.0,12279.0,4297.0,1
L00FBE2AC8694FA7B8ED25FC967A69958,0.0,29231.0,29231.0,0.0,0
L00FF6A3A95EABBEB3AC333CEF0096A53,0.0,45978.0,45978.0,0.0,0
L0101CD27AAA050A77D3068FA359B7E01,45833.0,12250.0,58083.0,44591.0,1
L0103D2AD3130A3F2B9DC997765D32BE2,0.0,14040.0,14040.0,0.0,0
L01040FEA1254A3D5B7476CF4EC4F2289,0.0,16620.0,16620.0,0.0,0
L0104D98F095F8495EF35F504B758A236,0.0,14890.0,14890.0,0.0,0
L0105FA638B3DB9B844A7177D328E671B,0.0,29537.0,29537.0,0.0,0
L01100F693559CF87BB0566A118B57D9C,0.0,19951.0,19951.0,0.0,0
L0110F16CCE47F7D7F2AB35113C03663A,0.0,11845.0,11845.0,0.0,0
L01172075E42938F98C49E5ED5FA36F0F,3430.0,12780.0,12780.0,0.0,1
L0118F85C9CFE66E759429C7A688992A1,34632.0,7000.0,41632.0,33680.0,1
L01193A2EA1C0BD7601B9A240D99BE277,1250.0,28480.0,28480.0,0.0,1
L011A92EA6A7108B6ED4B1A84E180DBD9,0.0,11849.0,11849.0,0.0,0
L011E98416767A321F58407B02C296AEA,0.0,11677.0,11677.0,0.0,0
L01202748A1A907C24323C6ADBDD4529E,28135.0,7500.0,35635.0,27368.0,1
L0123B5F3CDE7461AEB801C8D92BE326C,8668.0,21250.0,29918.0,8317.0,1
L0124E22B20E887A80587969A68D6FD19,0.0,22771.0,22771.0,0.0,0
L012A99902B5267FEC8F4492F636C0EE8,0.0,17751.0,17751.0,0.0,0
L012AD158DE27076D25C8A1D219EE8B6F,0.0,15371.0,15371.0,0.0,0
L0134090688165C59FF88B336901FDCE5,2769.0,6800.0,9569.0,2657.0,1
L0134E965FACE87C221B1DFF9310DD14C,0.0,15474.0,15474.0,0.0,0
L0135416851C70AADD841422ADD071AD9,14610.0,9000.0,23610.0,14196.0,1
L013727BA8D8BBA0C514A53109789CB65,2908.0,9000.0,11908.0,2766.0,1
L013A35C4FF6C84AFFCB0533A0B40B675,6279.0,5500.0,11779.0,6116.0,1
L013A3E5C1F7F4DCD272243E6A4C26E14,1000.0,11940.0,11940.0,0.0,1
L013A77379489BEBFFF6AC135ECB08395,0.0,54967.0,54967.0,0.0,0
L013E2A67CDCEAEA34092DC49CCE95726,0.0,17306.0,17306.0,0.0,0
L013F36CE1F29313926A98D4F94C65DE7,0.0,42183.0,42183.0,0.0,0
L014416ECAFAF4541815BC82FEF900C02,3039.0,9439.0,9439.0,0.0,1
L01481F650F692EFA5DD4E42F46F618FD,0.0,17667.0,17667.0,0.0,0
L01489BCC9CC948229FFB39648700AEB9,650.0,15328.0,15328.0,0.0,1
L014B0D5CF5EF41720124091DBDD8BE84,14789.0,29939.0,29939.0,0.0,1
L014D07383B1AA30171C9F75F3E75CBAA,1000.0,11817.0,11817.0,0.0,1
L014E78E4CEDF77819239F27D40D04F81,0.0,29480.0,29480.0,0.0,0
L01530871628FCFD94C9B01DE0C75FEAC,0.0,32544.0,32544.0,0.0,0
L01583A663F427492E2483230FDEB664B,19568.0,36068.0,36068.0,0.0,1
L015AF525A8EF8DB5EA98F47889F2321C,0.0,22216.0,22216.0,0.0,0
L015B7C6C20240336D9188739E1CABB47,0.0,11659.0,11659.0,0.0,0
L015F05A37764528AD6E756F3B49B75EE,0.0,11582.0,11582.0,0.0,0
L015F71AE1E34CBCF5E09AFF7A3DA425E,17513.0,7350.0,24863.0,17045.0,1
L0160087C6AB7CDC3D57F478DBF19E91D,1500.0,34569.0,34569.0,0.0,1
L01613625E82D1B9F2077D41BE221D9EE,0.0,19583.0,19583.0,0.0,0
L0167B183D899BC1DC9A11DE655F0A829,36441.0,5250.0,41691.0,35429.0,1
L0168515FE8E652A136D85F6E642D24C4,0.0,11820.0,11820.0,0.0,0
L016A6016CD5AE2D736F3C78B5404110E,3133.0,11633.0,11633.0,0.0,1
L016A8C9C96B53D9BF2EABCACF3E7D2DD,3998.0,8000.0,11998.0,3827.0,1
L016B16A176794A45EA98330C1BBF0D96,1800.0,14386.0,14386.0,0.0,1
L016D2C74383A69C2D73A31FE62CA24D3,0.0,51641.0,51641.0,0.0,0
L016F979DC6908AB659285759BADBEB32,26498.0,2500.0,28998.0,26498.0,1
L01722353FFD13DA45BB6A7099E85828F,0.0,29491.0,29491.0,0.0,0
L01723CB9F031CA11E9FF53523820F916,11815.0,36000.0,47815.0,11421.0,1
L01771047AA2E37B39ABB03B5ABBD6F7C,0.0,21471.0,21471.0,0.0,0
L017A0428DA9653AD96AD40A0FCFEE50F,0.0,55027.0,55027.0,0.0,0
L017AED0918A1A3484215F6B6B93DB040,3387.0,2480.0,5867.0,3148.0,1
L017B9E0BDF377695434D9352709D64D1,0.0,29301.0,29301.0,0.0,0
L01801998C885A5F8B82E43BE5FEB9FE2,0.0,46345.0,46345.0,0.0,0
L0180C9D2239AE70C78D6F8E830BD10CD,0.0,20962.0,20962.0,0.0,0
L0184C23D53DB96F42D5B0EE0B3DC2A89,0.0,35371.0,35371.0,0.0,0
L01861C6E1155226EAE04D8B71673F6BC,0.0,17224.0,17224.0,0.0,0
L018E464DAAAC6528496A9328000C8B62,0.0,15368.0,15368.0,0.0,0
L01942F392F75A46AAD98EC5C5A5892C4,0.0,11804.0,11804.0,0.0,0
L019B603CB0D93A815AED00F419A19D8B,0.0,13989.0,13989.0,0.0,0
L019E8E93A5D7B6E09FC79205EF2226B1,7929.0,7150.0,15079.0,7929.0,1
L01A060246177BB4826C070B009E2F1B8,0.0,30589.0,30589.0,0.0,0
L01A172C23222973D4753C7157B4BE26A,0.0,27266.0,27266.0,0.0,0
L01A42AFDEE592AABA0E4E073A81864AA,6391.0,13600.0,19991.0,6295.0,1
L01A495D0AA68B59D8D64E633DC6D7D9B,26558.0,9000.0,35558.0,25845.0,1
L01A65BC01F402CCED016689250D3F4E7,0.0,7824.0,7824.0,0.0,0
L01A6BB3B0C3433E8E795508E07FD1C91,0.0,11938.0,11938.0,0.0,0
L01B1C06AE2AADC7494C5AD5AD799112F,0.0,26428.0,26428.0,0.0,0
L01B1D76948D796189DBEE501EF1BB38F,0.0,11685.0,11685.0,0.0,0
L01B1DE950D757E50444B7716E1168560,0.0,28843.0,28843.0,0.0,0
L01B486F8DBF752E24E9D3BDD53452BFF,0.0,71950.0,71950.0,0.0,0
L01B97EAF3E57AD3B8432AD7B2F4A7C4F,5345.0,4680.0,10025.0,5345.0,1
L01BA7EFA8042E032AC5AC0D956F05331,7600.0,4000.0,11600.0,7600.0,1
L01BC539703B49C44850BC0DA3D402DB4,6100.0,5500.0,11600.0,6100.0,1
L01BDB154E670A3A330D8C43B21B85192,0.0,25746.0,25746.0,0.0,0
L01BF4080A8BB0DF4EF23646F4C1D3544,0.0,9180.0,9180.0,0.0,0
L01C1CA9E87FD3CBA3BF8EE0C3AB5339E,0.0,14057.0,14057.0,0.0,0
L01C36FF1E868E97355BE44F47E3E6438,0.0,11760.0,11760.0,0.0,0
L01C425655217D26AA5195D9CFEAB665C,0.0,11419.0,11419.0,0.0,0
L01C8048DE038826D3BDB421D26C1CCB7,0.0,52221.0,52221.0,0.0,0
L01C83C698662A29BA78ED3E09316D5CC,0.0,18452.0,18452.0,0.0,0
L01C8F2E5BA20D0A191616723CAF94754,0.0,41628.0,41628.0,0.0,0
L01C971632BCD8D939A306DFACD68C4EE,0.0,52243.0,52243.0,0.0,0
L01D124CDF07CB18F1F7C015BE2C9E963,0.0,34800.0,34800.0,0.0,0
L01D4CDA445BAB4CD270CC04DBA8C5696,0.0,17072.0,17072.0,0.0,0
L01D58C4AD8615FD00BEA79D9CB211A20,0.0,11985.0,11985.0,0.0,0
L01D64D87DED6BB63FABD78390C910F34,0.0,23162.0,23162.0,0.0,0
L01DEC0C1B9E493127FA4C9A67FD80ADE,0.0,24623.0,24623.0,0.0,0
L01E1BC3CC593904C9D3AD473DC63514A,0.0,57626.0,57626.0,0.0,0
L01E33A5A1926972F760C7A33FB5F9E22,0.0,16865.0,16865.0,0.0,0
L01E4031C028A994ACB3184FA32CA2F54,0.0,28250.0,28250.0,0.0,0
L01E47F3861094D8414F75034BDE0DE33,9478.0,23478.0,23478.0,0.0,1
L01E51AF394E1D3D61FCB7E36351BEE60,12690.0,1200.0,13890.0,12690.0,1
L01E530332297B81D075DFC71ECF6C8FD,4422.0,11050.0,15472.0,4304.0,1
L01E5D2E784428825944F95F0035F9612,0.0,11623.0,11623.0,0.0,0
L01E6818F274563EEF85E22FB0AE36D32,0.0,11935.0,11935.0,0.0,0
L01E872808A62A4AE8412FB044E2CC03E,0.0,10605.0,10605.0,0.0,0
L01E8B3689AB995BC702CBF8A4F0DF255,0.0,11748.0,11748.0,0.0,0
L01E8E237CFF70BE0F40B0196C51D8CCD,850.0,19415.0,19415.0,0.0,1
L01E9625EA9B4B549521CF36696D64750,53416.0,4900.0,58316.0,51941.0,1
L01E984E6CD8A4F4436F7F23CDB9D64E7,0.0,13702.0,13702.0,0.0,0
L01EB593C42BD3215400159E6B157C793,9146.0,9000.0,18146.0,8646.0,1
L01ECE3FA511B66E8933E1E7549B90A26,0.0,51551.0,51551.0,0.0,0
L01F31376ABCAE35C70A01F40A20717F7,0.0,57710.0,57710.0,0.0,0
L01F51AC96462385F1DCAB658ECDACC03,0.0,58225.0,58225.0,0.0,0
L01F707483CF4B8FC8F9737F225FB9D01,5600.0,6000.0,11600.0,5600.0,1
L01F7200E39BB8DAAA1A31EF69424582B,0.0,18690.0,18690.0,0.0,0
L01F83513FB76D3F99153E6AE099A142D,0.0,11874.0,11874.0,0.0,0
L01F98AFDE9F2EAB6B33D0702A904B1C1,0.0,35196.0,35196.0,0.0,0
L01FE626BEE8B6928BF9EB8E2AEC53576,0.0,18082.0,18082.0,0.0,0
L01FEBF85F9B20C422B80A6D7DDBBDA62,0.0,27008.0,27008.0,0.0,0
L0201072FD0B141937867272F86A73738,600.0,13941.0,13941.0,0.0,1
L0203546EB43523866C36B21C47127113,0.0,17790.0,17790.0,0.0,0
L02071BB9CF67B8DF6DE5E4D9FC54E3BE,0.0,17576.0,17576.0,0.0,0
L0207DDC613E1CA95C256F8D7CDE143C9,0.0,11716.0,11716.0,0.0,0
L020A31712ECD69F569C8950C4EE5D535,0.0,36821.0,36821.0,0.0,0
L020B22BAD61132FE20DB909FA2C8A172,0.0,35078.0,35078.0,0.0,0
L020B4E3167C97D86C79D9FFF63FF94DD,1903.0,7600.0,9503.0,1811.0,1
L020C1FAD29A9D2831140D70019CE0C6B,0.0,11963.0,11963.0,0.0,0
L020EF8B2503BB91CA5BEF558FE4ADDB2,54274.0,2450.0,56724.0,54274.0,1
L020F242B25010BA133F411EFF0AD2230,5057.0,7000.0,12057.0,4819.0,1
L020F9F85B4CF65BA6E2A39A7A7A75E1A,0.0,7738.0,7738.0,0.0,0
L0210EDDD8637A02F39E937563656A393,0.0,18564.0,18564.0,0.0,0
L02154FE81144548B814958FC967BCE9B,0.0,11865.0,11865.0,0.0,0
L0215D28886C10616427E40DF838D1B64,0.0,30124.0,30124.0,0.0,0
L02198ED1E1A3CC63D47991DE91E8B851,0.0,31930.0,31930.0,0.0,0
L021AC40885A07491EB169C8CB2529CA3,0.0,29087.0,29087.0,0.0,0
L021B374B53B41749E287AC051069A772,0.0,15468.0,15468.0,0.0,0
L022983B142DA7FBC1C410A0C2E4D735B,7552.0,10500.0,18052.0,7147.0,1
L023862CBF9CE051FEEBD8055E9C3CAAC,0.0,17164.0,17164.0,0.0,0
L0239F8E3FFCB11788A3CD947EC28EEBB,7984.0,4950.0,12934.0,7866.0,1
L023A3DE4085EEEAF9CE286039FF15BF5,0.0,11636.0,11636.0,0.0,0
L023B05B5E1789466906A1727DF2A660C,0.0,29696.0,29696.0,0.0,0
L023C4C3E688B81CE4B7B5BAE9DD07068,33802.0,1500.0,35302.0,33315.0,1
L023D6F9D9C903E3FDFB0E67C357501FE,0.0,22611.0,22611.0,0.0,0
L023E43DBCE709D2BD06890C5263BD1C4,0.0,10316.0,10316.0,0.0,0
L02432FFCE30533B7CE6E130BA66E5729,0.0,23491.0,23491.0,0.0,0
L0244E657278889AAEEE1707C779EB07E,0.0,46503.0,46503.0,0.0,0
L024C5D5EEBBE28BD4DA49D804DF3B280,1000.0,11699.0,11699.0,0.0,1
L024D7E2B9A8AFC3FE794D1806ECF602C,0.0,17483.0,17483.0,0.0,0
L024EB94E982AA220DE7FF199D050C99F,0.0,27964.0,27964.0,0.0,0
L024FB7A4D85C3F0CB60619475D20EE50,19739.0,4000.0,23739.0,19196.0,1
L0252925E68CD4F9255DA5E0F5F932F6E,0.0,11629.0,11629.0,0.0,0
L0252AA0F901EB09E0850E56CDE557E9E,8612.0,29862.5,29862.5,0.0,1
L0253CE9CEC26B97B0E39FA7B62FEDEDD,7508.0,17808.0,17808.0,0.0,1
L0255F021F2077E175A2786AA359F7680,0.0,35598.0,35598.0,0.0,0
L0257EE7B7A22D842656192BC57CD570F,0.0,23080.0,23080.0,0.0,0
L0259A086E595B47C8A67A2A30DCCA9D3,0.0,35114.0,35114.0,0.0,0
L025D2E7F584B2C98741F65B0A337A86C,9893.0,2000.0,11893.0,9623.0,1
L025FEF8C75E19646B2EE8724ECB3AA91,2585.0,9500.0,12085.0,2488.0,1
L0260DF1070C5C5858108B09301B57B73,0.0,42984.0,42984.0,0.0,0
